date,total_casos,total_mortes,total_recuperados,casos_diarios,mortes_diarias,recuperados_diarios,crescimento_casos_pct,crescimento_mortes_pct,crescimento_recuperacoes_pct,casos_7d_ma,mortes_7d_ma,recuperados_7d_ma,casos_14d_change_avg,mortes_14d_change_avg,recuperados_14d_change_avg,tendencia_casos_14d,tendencia_mortes_14d,tendencia_recuperados_14d,letalidade_pct,recuperacao_pct,casos_por_100k,mortes_por_1M
2020-01-22,1,0,0,1.0,0.0,0.0,não informado,não informado,não informado,1.0,0.0,0.0,,,,indefinido,indefinido,indefinido,0.0,0.0,0.00029868108198739254,0.0
2020-01-23,1,0,0,0.0,0.0,0.0,0.0,não informado,não informado,0.5,0.0,0.0,,,,indefinido,indefinido,indefinido,0.0,0.0,0.00029868108198739254,0.0
2020-01-24,2,0,0,1.0,0.0,0.0,100.0,não informado,não informado,0.6666666666666666,0.0,0.0,,,,indefinido,indefinido,indefinido,0.0,0.0,0.0005973621639747851,0.0
2020-01-25,2,0,0,0.0,0.0,0.0,0.0,não informado,não informado,0.5,0.0,0.0,,,,indefinido,indefinido,indefinido,0.0,0.0,0.0005973621639747851,0.0
2020-01-26,5,0,0,3.0,0.0,0.0,150.0,não informado,não informado,1.0,0.0,0.0,,,,indefinido,indefinido,indefinido,0.0,0.0,0.0014934054099369624,0.0
2020-01-27,5,0,0,0.0,0.0,0.0,0.0,não informado,não informado,0.8333333333333334,0.0,0.0,,,,indefinido,indefinido,indefinido,0.0,0.0,0.0014934054099369624,0.0
2020-01-28,5,0,0,0.0,0.0,0.0,0.0,não informado,não informado,0.7142857142857143,0.0,0.0,,,,indefinido,indefinido,indefinido,0.0,0.0,0.0014934054099369624,0.0
2020-01-29,6,0,0,1.0,0.0,0.0,20.0,não informado,não informado,0.7142857142857143,0.0,0.0,,,,indefinido,indefinido,indefinido,0.0,0.0,0.001792086491924355,0.0
2020-01-30,6,0,0,0.0,0.0,0.0,0.0,não informado,não informado,0.7142857142857143,0.0,0.0,,,,indefinido,indefinido,indefinido,0.0,0.0,0.001792086491924355,0.0
2020-01-31,8,0,0,2.0,0.0,0.0,33.33333333333333,não informado,não informado,0.8571428571428571,0.0,0.0,,,,indefinido,indefinido,indefinido,0.0,0.0,0.0023894486558991403,0.0
2020-02-01,8,0,0,0.0,0.0,0.0,0.0,não informado,não informado,0.8571428571428571,0.0,0.0,,,,indefinido,indefinido,indefinido,0.0,0.0,0.0023894486558991403,0.0
2020-02-02,8,0,0,0.0,0.0,0.0,0.0,não informado,não informado,0.42857142857142855,0.0,0.0,,,,indefinido,indefinido,indefinido,0.0,0.0,0.0023894486558991403,0.0
2020-02-03,11,0,0,3.0,0.0,0.0,37.5,não informado,não informado,0.8571428571428571,0.0,0.0,,,,indefinido,indefinido,indefinido,0.0,0.0,0.0032854919018613176,0.0
2020-02-04,11,0,0,0.0,0.0,0.0,0.0,não informado,não informado,0.8571428571428571,0.0,0.0,,,,indefinido,indefinido,indefinido,0.0,0.0,0.0032854919018613176,0.0
2020-02-05,11,0,0,0.0,0.0,0.0,0.0,não informado,não informado,0.7142857142857143,0.0,0.0,-0.02040816326530612,0.0,0.0,descendo,estavel,estavel,0.0,0.0,0.0032854919018613176,0.0
2020-02-06,12,0,0,1.0,0.0,0.0,9.090909090909092,não informado,não informado,0.8571428571428571,0.0,0.0,0.02551020408163265,0.0,0.0,subindo,estavel,estavel,0.0,0.0,0.00358417298384871,0.0
2020-02-07,12,0,0,0.0,0.0,0.0,0.0,não informado,não informado,0.5714285714285714,0.0,0.0,-0.006802721088435374,0.0,0.0,descendo,estavel,estavel,0.0,0.0,0.00358417298384871,0.0
2020-02-08,12,0,0,0.0,0.0,0.0,0.0,não informado,não informado,0.5714285714285714,0.0,0.0,0.0051020408163265285,0.0,0.0,subindo,estavel,estavel,0.0,0.0,0.00358417298384871,0.0
2020-02-09,12,0,3,0.0,0.0,3.0,0.0,não informado,não informado,0.5714285714285714,0.0,0.42857142857142855,-0.030612244897959186,0.0,0.030612244897959183,descendo,estavel,subindo,0.0,25.0,0.00358417298384871,0.0
2020-02-10,12,0,3,0.0,0.0,0.0,0.0,não informado,0.0,0.14285714285714285,0.0,0.42857142857142855,-0.04931972789115646,0.0,0.030612244897959183,descendo,estavel,subindo,0.0,25.0,0.00358417298384871,0.0
2020-02-11,13,0,3,1.0,0.0,0.0,8.333333333333332,não informado,0.0,0.2857142857142857,0.0,0.42857142857142855,-0.030612244897959186,0.0,0.030612244897959183,descendo,estavel,subindo,0.0,23.076923076923077,0.0038828540658361024,0.0
2020-02-12,13,0,3,0.0,0.0,0.0,0.0,não informado,0.0,0.2857142857142857,0.0,0.42857142857142855,-0.030612244897959186,0.0,0.030612244897959183,descendo,estavel,subindo,0.0,23.076923076923077,0.0038828540658361024,0.0
2020-02-13,14,0,3,1.0,0.0,0.0,7.6923076923076925,não informado,0.0,0.2857142857142857,0.0,0.42857142857142855,-0.030612244897959186,0.0,0.030612244897959183,descendo,estavel,subindo,0.0,21.428571428571427,0.004181535147823495,0.0
2020-02-14,14,0,3,0.0,0.0,0.0,0.0,não informado,0.0,0.2857142857142857,0.0,0.42857142857142855,-0.04081632653061224,0.0,0.030612244897959183,descendo,estavel,subindo,0.0,21.428571428571427,0.004181535147823495,0.0
2020-02-15,14,0,3,0.0,0.0,0.0,0.0,não informado,0.0,0.2857142857142857,0.0,0.42857142857142855,-0.04081632653061224,0.0,0.030612244897959183,descendo,estavel,subindo,0.0,21.428571428571427,0.004181535147823495,0.0
2020-02-16,14,0,3,0.0,0.0,0.0,0.0,não informado,0.0,0.2857142857142857,0.0,0.0,-0.01020408163265306,0.0,0.0,descendo,estavel,estavel,0.0,21.428571428571427,0.004181535147823495,0.0
