date,total_casos,total_mortes,total_recuperados,casos_diarios,mortes_diarias,recuperados_diarios,crescimento_casos_pct,crescimento_mortes_pct,crescimento_recuperacoes_pct,casos_7d_ma,mortes_7d_ma,recuperados_7d_ma,casos_14d_change_avg,mortes_14d_change_avg,recuperados_14d_change_avg,tendencia_casos_14d,tendencia_mortes_14d,tendencia_recuperados_14d
2021-07-11,19093845,533758,17001043,19147.0,565.0,17710.0,0.10037904663025334,0.1059653821411759,0.10427870665905214,45664.57142857143,1293.5714285714287,59794.28571428572,-1752.3673469387759,-26.306122448979586,32.622448979592136,descendo,descendo,subindo
2021-07-12,19113078,534540,17014796,19233.0,782.0,13753.0,0.10072879506458758,0.14650834273209956,0.08089503685156257,44421.42857142857,1292.5714285714287,48462.142857142855,-1704.9285714285709,-23.653061224489793,-830.4183673469389,descendo,descendo,descendo
2021-07-13,19161644,536199,17037027,48566.0,1659.0,22231.0,0.25409826716555023,0.3103603097990796,0.1306568706436445,42547.57142857143,1278.2857142857142,42413.0,-1243.9591836734694,-22.98979591836735,-1212.2244897959183,descendo,descendo,descendo
2021-07-14,19217741,537735,17128429,56097.0,1536.0,91402.0,0.29275671753425747,0.28646081025887776,0.5364903160627732,42823.28571428572,1271.2857142857142,52129.57142857143,-915.5612244897956,-21.438775510204078,754.2857142857143,descendo,descendo,subindo
2021-07-15,19272139,539344,17141848,54398.0,1609.0,13419.0,0.2830613650168352,0.29921801630914857,0.07834343710097405,42859.142857142855,1254.4285714285713,49383.857142857145,-754.8979591836734,-21.561224489795922,-952.4081632653059,descendo,descendo,descendo
2021-07-16,19315054,540733,17252650,42915.0,1389.0,110802.0,0.22267896677166973,0.25753507965231837,0.6463830504155678,40639.57142857143,1242.5714285714287,61335.57142857143,-796.2040816326532,-21.061224489795904,175.9081632653059,descendo,descendo,subindo
2021-07-17,19364084,542004,17254329,49030.0,1271.0,1679.0,0.2538434528839526,0.23505130998108123,0.009731838297305052,41340.857142857145,1258.7142857142858,38713.71428571428,-675.3775510204079,-21.122448979591827,-1086.6938775510207,descendo,descendo,descendo
2021-07-18,19380831,542485,17304814,16747.0,481.0,50485.0,0.08648485515762068,0.08874473251119917,0.292593238485252,40998.0,1246.7142857142858,43395.857142857145,-633.3571428571429,-22.48979591836735,-1202.9183673469383,descendo,descendo,descendo
2021-07-19,19397587,543153,17319329,16756.0,668.0,14515.0,0.0864565611247526,0.12313704526392434,0.08387839360769783,40644.142857142855,1230.4285714285713,43504.71428571428,-616.5510204081636,-24.418367346938776,-1333.142857142857,descendo,descendo,descendo
2021-07-20,19428736,544532,17371065,31149.0,1379.0,51736.0,0.16058182906977037,0.25388794685843585,0.29871827020550273,38156.0,1190.4285714285713,47719.71428571428,-750.6734693877552,-25.448979591836746,-1309.3163265306123,descendo,descendo,descendo
2021-07-21,19484572,545932,17404495,55836.0,1400.0,33430.0,0.2873887421188903,0.25710151102230905,0.192446461975705,38118.71428571428,1171.0,39438.0,-825.010204081633,-21.94897959183673,-1920.3877551020403,descendo,descendo,descendo
2021-07-22,19533253,547363,17470332,48681.0,1431.0,65837.0,0.24984382515561543,0.26212055713898436,0.37827584195921804,37302.0,1145.5714285714287,46926.28571428572,-812.0918367346941,-21.673469387755095,97.71428571428571,descendo,descendo,subindo
2021-07-23,19640373,548654,17475091,107120.0,1291.0,4759.0,0.5483981597944797,0.23585810513315658,0.02724046686691472,46474.142857142855,1131.5714285714287,31777.285714285714,-104.6938775510207,-18.551020408163254,-928.9693877551023,descendo,descendo,descendo
2021-07-24,19675021,549735,17656625,34648.0,1081.0,181534.0,0.17641212822180108,0.1970276349028714,1.0388157635345074,44419.57142857143,1104.4285714285713,57470.857142857145,-153.36734693877537,-15.61224489795919,-580.9897959183675,descendo,descendo,descendo
2021-07-25,19693277,550214,17702038,18256.0,479.0,45413.0,0.09278770274247737,0.08713289130217286,0.2572009090072423,44635.142857142855,1104.142857142857,56746.28571428572,-73.53061224489804,-13.530612244897968,-217.71428571428572,descendo,descendo,descendo
2021-07-26,19714719,550839,17704701,21442.0,625.0,2663.0,0.10887979689718474,0.11359216595724572,0.015043465616783786,45304.57142857143,1098.0,55053.142857142855,63.08163265306108,-13.897959183673477,470.7857142857143,subindo,descendo,subindo
2021-07-27,19758310,552128,17715481,43591.0,1289.0,10780.0,0.22110890852666984,0.2340066698254844,0.06088778341978213,47082.0,1085.142857142857,49202.28571428572,323.8877551020409,-13.795918367346937,484.948979591837,subindo,descendo,subindo
2021-07-28,19805359,553501,17742532,47049.0,1373.0,27051.0,0.23812259246868786,0.2486742204706155,0.15269695471435407,45826.71428571428,1081.2857142857142,48291.0,214.53061224489753,-13.571428571428571,-274.18367346938766,subindo,descendo,descendo
2021-07-29,19846680,554842,17771228,41321.0,1341.0,28696.0,0.20863545063737549,0.24227598504790415,0.16173565306237014,44775.28571428572,1068.4285714285713,42985.142857142855,136.86734693877588,-13.285714285714286,-457.05102040816354,subindo,descendo,descendo
2021-07-30,19887058,555727,17771228,40378.0,885.0,0.0,0.20344964497840445,0.15950486805252667,0.0,35240.71428571428,1010.4285714285714,42305.28571428572,-385.63265306122463,-16.58163265306123,-1359.3061224489793,descendo,descendo,descendo
2021-07-31,19922146,556676,17771228,35088.0,949.0,0.0,0.17643635373316657,0.17076730121084632,0.0,35303.57142857143,991.5714285714286,16371.857142857143,-431.23469387755125,-19.08163265306123,-1595.84693877551,descendo,descendo,descendo
2021-08-01,19942499,557091,17771228,20353.0,415.0,0.0,0.10216268869829585,0.07454964826937034,0.0,35603.142857142855,982.4285714285714,9884.285714285714,-385.34693877551035,-18.877551020408166,-2393.6836734693884,descendo,descendo,descendo
2021-08-02,19961374,557635,17771228,18875.0,544.0,0.0,0.09464711518852277,0.09765011461323195,0.0,35236.42857142857,970.8571428571429,9503.857142857143,-386.26530612244875,-18.540816326530603,-2428.632653061224,descendo,descendo,descendo
2021-08-03,19993870,558872,17771228,32496.0,1237.0,0.0,0.16279440483405602,0.2218296914648471,0.0,33651.42857142857,963.4285714285714,7963.857142857143,-321.75510204081627,-16.214285714285705,-2839.7040816326526,descendo,descendo,descendo
2021-08-04,20034407,559944,17771228,40537.0,1072.0,0.0,0.2027471419990227,0.19181494152507192,0.0,32721.14285714286,920.4285714285714,4099.428571428572,-385.54081632653026,-17.897959183673468,-2524.1836734693875,descendo,descendo,descendo
2021-08-05,20073891,561070,0,39484.0,1126.0,0.0,0.19708095178459736,0.20109153772520108,0.0,32458.714285714286,889.7142857142857,0.0,-345.9489795918367,-18.275510204081645,-3351.877551020408,descendo,descendo,descendo
