date,total_casos,total_mortes,total_recuperados,casos_diarios,mortes_diarias,recuperados_diarios,crescimento_casos_pct,crescimento_mortes_pct,crescimento_recuperacoes_pct,casos_7d_ma,mortes_7d_ma,recuperados_7d_ma,casos_14d_change_avg,mortes_14d_change_avg,recuperados_14d_change_avg,tendencia_casos_14d,tendencia_mortes_14d,tendencia_recuperados_14d,letalidade_pct,recuperacao_pct,casos_por_100k,mortes_por_1M
2020-01-22,0,0,0,0.0,0.0,0.0,não informado,não informado,não informado,0.0,0.0,0.0,,,,indefinido,indefinido,indefinido,,,0.0,0.0
2020-01-23,2,0,0,2.0,0.0,0.0,não informado,não informado,não informado,1.0,0.0,0.0,,,,indefinido,indefinido,indefinido,0.0,0.0,0.0020211505114304095,0.0
2020-01-24,2,0,0,0.0,0.0,0.0,0.0,não informado,não informado,0.6666666666666666,0.0,0.0,,,,indefinido,indefinido,indefinido,0.0,0.0,0.0020211505114304095,0.0
2020-01-25,2,0,0,0.0,0.0,0.0,0.0,não informado,não informado,0.5,0.0,0.0,,,,indefinido,indefinido,indefinido,0.0,0.0,0.0020211505114304095,0.0
2020-01-26,2,0,0,0.0,0.0,0.0,0.0,não informado,não informado,0.4,0.0,0.0,,,,indefinido,indefinido,indefinido,0.0,0.0,0.0020211505114304095,0.0
2020-01-27,2,0,0,0.0,0.0,0.0,0.0,não informado,não informado,0.3333333333333333,0.0,0.0,,,,indefinido,indefinido,indefinido,0.0,0.0,0.0020211505114304095,0.0
2020-01-28,2,0,0,0.0,0.0,0.0,0.0,não informado,não informado,0.2857142857142857,0.0,0.0,,,,indefinido,indefinido,indefinido,0.0,0.0,0.0020211505114304095,0.0
2020-01-29,2,0,0,0.0,0.0,0.0,0.0,não informado,não informado,0.2857142857142857,0.0,0.0,,,,indefinido,indefinido,indefinido,0.0,0.0,0.0020211505114304095,0.0
2020-01-30,2,0,0,0.0,0.0,0.0,0.0,não informado,não informado,0.0,0.0,0.0,,,,indefinido,indefinido,indefinido,0.0,0.0,0.0020211505114304095,0.0
2020-01-31,2,0,0,0.0,0.0,0.0,0.0,não informado,não informado,0.0,0.0,0.0,,,,indefinido,indefinido,indefinido,0.0,0.0,0.0020211505114304095,0.0
2020-02-01,6,0,1,4.0,0.0,1.0,200.0,não informado,não informado,0.5714285714285714,0.0,0.14285714285714285,,,,indefinido,indefinido,indefinido,0.0,16.666666666666664,0.006063451534291229,0.0
2020-02-02,6,0,1,0.0,0.0,0.0,0.0,não informado,0.0,0.5714285714285714,0.0,0.14285714285714285,,,,indefinido,indefinido,indefinido,0.0,16.666666666666664,0.006063451534291229,0.0
2020-02-03,8,0,1,2.0,0.0,0.0,33.33333333333333,não informado,0.0,0.8571428571428571,0.0,0.14285714285714285,,,,indefinido,indefinido,indefinido,0.0,12.5,0.008084602045721638,0.0
2020-02-04,8,0,1,0.0,0.0,0.0,0.0,não informado,0.0,0.8571428571428571,0.0,0.14285714285714285,,,,indefinido,indefinido,indefinido,0.0,12.5,0.008084602045721638,0.0
2020-02-05,8,0,1,0.0,0.0,0.0,0.0,não informado,0.0,0.8571428571428571,0.0,0.14285714285714285,0.061224489795918366,0.0,0.01020408163265306,subindo,estavel,subindo,0.0,12.5,0.008084602045721638,0.0
2020-02-06,10,0,1,2.0,0.0,0.0,25.0,não informado,0.0,1.1428571428571428,0.0,0.14285714285714285,0.010204081632653057,0.0,0.01020408163265306,subindo,estavel,subindo,0.0,10.0,0.010105752557152048,0.0
2020-02-07,10,0,1,0.0,0.0,0.0,0.0,não informado,0.0,1.1428571428571428,0.0,0.14285714285714285,0.03401360544217687,0.0,0.01020408163265306,subindo,estavel,subindo,0.0,10.0,0.010105752557152048,0.0
2020-02-08,13,0,1,3.0,0.0,0.0,30.0,não informado,0.0,1.0,0.0,0.0,0.03571428571428571,0.0,0.0,subindo,estavel,estavel,0.0,7.6923076923076925,0.013137478324297663,0.0
2020-02-09,13,0,1,0.0,0.0,0.0,0.0,não informado,0.0,1.0,0.0,0.0,0.04285714285714286,0.0,0.0,subindo,estavel,estavel,0.0,7.6923076923076925,0.013137478324297663,0.0
2020-02-10,14,0,1,1.0,0.0,0.0,7.6923076923076925,não informado,0.0,0.8571428571428571,0.0,0.0,0.03741496598639455,0.0,0.0,subindo,estavel,estavel,0.0,7.142857142857142,0.014148053580012867,0.0
2020-02-11,15,0,6,1.0,0.0,5.0,7.142857142857142,não informado,500.0,1.0,0.0,0.7142857142857143,0.05102040816326531,0.0,0.05102040816326531,subindo,estavel,subindo,0.0,40.0,0.015158628835728072,0.0
2020-02-12,15,0,6,0.0,0.0,0.0,0.0,não informado,0.0,1.0,0.0,0.7142857142857143,0.05102040816326531,0.0,0.05102040816326531,subindo,estavel,subindo,0.0,40.0,0.015158628835728072,0.0
2020-02-13,16,0,7,1.0,0.0,1.0,6.666666666666667,não informado,16.666666666666664,0.8571428571428571,0.0,0.8571428571428571,0.061224489795918366,0.0,0.061224489795918366,subindo,estavel,subindo,0.0,43.75,0.016169204091443276,0.0
2020-02-14,16,0,7,0.0,0.0,0.0,0.0,não informado,0.0,0.8571428571428571,0.0,0.8571428571428571,0.061224489795918366,0.0,0.061224489795918366,subindo,estavel,subindo,0.0,43.75,0.016169204091443276,0.0
2020-02-15,16,0,7,0.0,0.0,0.0,0.0,não informado,0.0,0.42857142857142855,0.0,0.8571428571428571,-0.01020408163265306,0.0,0.0510204081632653,descendo,estavel,subindo,0.0,43.75,0.016169204091443276,0.0
2020-02-16,16,0,7,0.0,0.0,0.0,0.0,não informado,0.0,0.42857142857142855,0.0,0.8571428571428571,-0.01020408163265306,0.0,0.0510204081632653,descendo,estavel,subindo,0.0,43.75,0.016169204091443276,0.0
2020-02-17,16,0,7,0.0,0.0,0.0,0.0,não informado,0.0,0.2857142857142857,0.0,0.8571428571428571,-0.04081632653061224,0.0,0.0510204081632653,descendo,estavel,subindo,0.0,43.75,0.016169204091443276,0.0
2020-02-18,16,0,7,0.0,0.0,0.0,0.0,não informado,0.0,0.14285714285714285,0.0,0.14285714285714285,-0.0510204081632653,0.0,0.0,descendo,estavel,estavel,0.0,43.75,0.016169204091443276,0.0
2020-02-19,16,0,7,0.0,0.0,0.0,0.0,não informado,0.0,0.14285714285714285,0.0,0.14285714285714285,-0.0510204081632653,0.0,0.0,descendo,estavel,estavel,0.0,43.75,0.016169204091443276,0.0
2020-02-20,16,0,7,0.0,0.0,0.0,0.0,não informado,0.0,0.0,0.0,0.0,-0.08163265306122448,0.0,-0.01020408163265306,descendo,estavel,descendo,0.0,43.75,0.016169204091443276,0.0
