date,total_casos,total_mortes,total_recuperados,casos_diarios,mortes_diarias,casos_recuperados,crescimento_casos,crescimento_mortes,crescimento_recuperacoes,casos_7d,mortes_7d,recuperacao_7d
2020-01-22,557,17,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,657,18,32,100.0,1.0,2.0,17.953321364452425,5.88235294117647,6.666666666666667,0.0,0.0,0.0
2020-01-24,944,26,39,287.0,8.0,7.0,43.68340943683409,44.44444444444444,21.875,0.0,0.0,0.0
2020-01-25,1437,42,42,493.0,16.0,3.0,52.22457627118644,61.53846153846154,7.6923076923076925,0.0,0.0,0.0
2020-01-26,2120,56,56,683.0,14.0,14.0,47.529575504523315,33.33333333333333,33.33333333333333,0.0,0.0,0.0
2020-01-27,2929,82,65,809.0,26.0,9.0,38.160377358490564,46.42857142857143,16.071428571428573,0.0,0.0,0.0
2020-01-28,5580,131,108,2651.0,49.0,43.0,90.5087060430181,59.756097560975604,66.15384615384615,717.5714285714286,16.285714285714285,11.142857142857142
2020-01-29,6169,133,127,589.0,2.0,19.0,10.555555555555555,1.5267175572519083,17.59259259259259,801.7142857142857,16.571428571428573,13.857142857142858
2020-01-30,8237,172,145,2068.0,39.0,18.0,33.52245096449992,29.32330827067669,14.173228346456693,1082.857142857143,22.0,16.142857142857142
2020-01-31,9927,214,225,1690.0,42.0,80.0,20.51717858443608,24.418604651162788,55.172413793103445,1283.2857142857142,26.857142857142858,26.571428571428573
2020-02-01,12038,260,287,2111.0,46.0,62.0,21.2652362244384,21.49532710280374,27.555555555555557,1514.4285714285713,31.142857142857142,35.0
2020-02-02,16787,364,476,4749.0,104.0,189.0,39.45007476324971,40.0,65.85365853658537,2095.285714285714,44.0,60.0
2020-02-03,19887,428,627,3100.0,64.0,151.0,18.466670637993683,17.582417582417584,31.72268907563025,2422.5714285714284,49.42857142857143,80.28571428571429
2020-02-04,23899,494,857,4012.0,66.0,230.0,20.173983003972445,15.42056074766355,36.68261562998405,2617.0,51.857142857142854,107.0
2020-02-05,27644,566,1130,3745.0,72.0,273.0,15.670111720155655,14.5748987854251,31.855309218203033,3067.8571428571427,61.857142857142854,143.28571428571428
